Region,Year,Count,Type,Area_km2
Australian Capital Territory,1750,300,Bird,2358
New South Wales,1750,634,Bird,800642
Northern Territory,1750,428,Bird,1349129
Other Territories,1750,184,Bird,250
Queensland,1750,639,Bird,1730648
South Australia,1750,478,Bird,983482
Tasmania,1750,278,Bird,68401
Victoria,1750,518,Bird,227416
Western Australia,1750,484,Bird,2529875
Australian Capital Territory,1990,239,Bird,2358
New South Wales,1990,519,Bird,800642
Northern Territory,1990,391,Bird,1349129
Other Territories,1990,146,Bird,250
Queensland,1990,556,Bird,1730648
South Australia,1990,422,Bird,983482
Tasmania,1990,219,Bird,68401
Victoria,1990,407,Bird,227416
Western Australia,1990,443,Bird,2529875
Australian Capital Territory,1991,239,Bird,2358
New South Wales,1991,521,Bird,800642
Northern Territory,1991,391,Bird,1349129
Other Territories,1991,145,Bird,250
Queensland,1991,555,Bird,1730648
South Australia,1991,423,Bird,983482
Tasmania,1991,220,Bird,68401
Victoria,1991,407,Bird,227416
Western Australia,1991,443,Bird,2529875
Australian Capital Territory,1992,239,Bird,2358
New South Wales,1992,524,Bird,800642
Northern Territory,1992,391,Bird,1349129
Other Territories,1992,146,Bird,250
Queensland,1992,558,Bird,1730648
South Australia,1992,424,Bird,983482
Tasmania,1992,220,Bird,68401
Victoria,1992,409,Bird,227416
Western Australia,1992,442,Bird,2529875
Australian Capital Territory,1993,241,Bird,2358
New South Wales,1993,530,Bird,800642
Northern Territory,1993,391,Bird,1349129
Other Territories,1993,146,Bird,250
Queensland,1993,560,Bird,1730648
South Australia,1993,426,Bird,983482
Tasmania,1993,222,Bird,68401
Victoria,1993,413,Bird,227416
Western Australia,1993,442,Bird,2529875
Australian Capital Territory,1994,242,Bird,2358
New South Wales,1994,533,Bird,800642
Northern Territory,1994,392,Bird,1349129
Other Territories,1994,147,Bird,250
Queensland,1994,562,Bird,1730648
South Australia,1994,428,Bird,983482
Tasmania,1994,222,Bird,68401
Victoria,1994,415,Bird,227416
Western Australia,1994,442,Bird,2529875
Australian Capital Territory,1995,242,Bird,2358
New South Wales,1995,531,Bird,800642
Northern Territory,1995,391,Bird,1349129
Other Territories,1995,147,Bird,250
Queensland,1995,561,Bird,1730648
South Australia,1995,428,Bird,983482
Tasmania,1995,223,Bird,68401
Victoria,1995,415,Bird,227416
Western Australia,1995,442,Bird,2529875
Australian Capital Territory,1996,241,Bird,2358
New South Wales,1996,530,Bird,800642
Northern Territory,1996,391,Bird,1349129
Other Territories,1996,146,Bird,250
Queensland,1996,560,Bird,1730648
South Australia,1996,427,Bird,983482
Tasmania,1996,222,Bird,68401
Victoria,1996,413,Bird,227416
Western Australia,1996,441,Bird,2529875
Australian Capital Territory,1997,240,Bird,2358
New South Wales,1997,528,Bird,800642
Northern Territory,1997,390,Bird,1349129
Other Territories,1997,146,Bird,250
Queensland,1997,558,Bird,1730648
South Australia,1997,426,Bird,983482
Tasmania,1997,221,Bird,68401
Victoria,1997,411,Bird,227416
Western Australia,1997,440,Bird,2529875
Australian Capital Territory,1998,240,Bird,2358
New South Wales,1998,527,Bird,800642
Northern Territory,1998,390,Bird,1349129
Other Territories,1998,146,Bird,250
Queensland,1998,557,Bird,1730648
South Australia,1998,426,Bird,983482
Tasmania,1998,220,Bird,68401
Victoria,1998,411,Bird,227416
Western Australia,1998,441,Bird,2529875
Australian Capital Territory,1999,241,Bird,2358
New South Wales,1999,529,Bird,800642
Northern Territory,1999,390,Bird,1349129
Other Territories,1999,147,Bird,250
Queensland,1999,558,Bird,1730648
South Australia,1999,427,Bird,983482
Tasmania,1999,221,Bird,68401
Victoria,1999,413,Bird,227416
Western Australia,1999,441,Bird,2529875
Australian Capital Territory,2000,242,Bird,2358
New South Wales,2000,528,Bird,800642
Northern Territory,2000,390,Bird,1349129
Other Territories,2000,147,Bird,250
Queensland,2000,558,Bird,1730648
South Australia,2000,427,Bird,983482
Tasmania,2000,224,Bird,68401
Victoria,2000,413,Bird,227416
Western Australia,2000,440,Bird,2529875
Australian Capital Territory,2001,244,Bird,2358
New South Wales,2001,532,Bird,800642
Northern Territory,2001,389,Bird,1349129
Other Territories,2001,148,Bird,250
Queensland,2001,558,Bird,1730648
South Australia,2001,428,Bird,983482
Tasmania,2001,225,Bird,68401
Victoria,2001,416,Bird,227416
Western Australia,2001,441,Bird,2529875
Australian Capital Territory,2002,244,Bird,2358
New South Wales,2002,535,Bird,800642
Northern Territory,2002,389,Bird,1349129
Other Territories,2002,148,Bird,250
Queensland,2002,560,Bird,1730648
South Australia,2002,429,Bird,983482
Tasmania,2002,224,Bird,68401
Victoria,2002,418,Bird,227416
Western Australia,2002,442,Bird,2529875
Australian Capital Territory,2003,242,Bird,2358
New South Wales,2003,535,Bird,800642
Northern Territory,2003,390,Bird,1349129
Other Territories,2003,147,Bird,250
Queensland,2003,562,Bird,1730648
South Australia,2003,430,Bird,983482
Tasmania,2003,224,Bird,68401
Victoria,2003,417,Bird,227416
Western Australia,2003,443,Bird,2529875
Australian Capital Territory,2004,241,Bird,2358
New South Wales,2004,534,Bird,800642
Northern Territory,2004,391,Bird,1349129
Other Territories,2004,147,Bird,250
Queensland,2004,562,Bird,1730648
South Australia,2004,431,Bird,983482
Tasmania,2004,222,Bird,68401
Victoria,2004,417,Bird,227416
Western Australia,2004,443,Bird,2529875
Australian Capital Territory,2005,240,Bird,2358
New South Wales,2005,530,Bird,800642
Northern Territory,2005,391,Bird,1349129
Other Territories,2005,146,Bird,250
Queensland,2005,561,Bird,1730648
South Australia,2005,429,Bird,983482
Tasmania,2005,220,Bird,68401
Victoria,2005,413,Bird,227416
Western Australia,2005,443,Bird,2529875
Australian Capital Territory,2006,240,Bird,2358
New South Wales,2006,532,Bird,800642
Northern Territory,2006,391,Bird,1349129
Other Territories,2006,147,Bird,250
Queensland,2006,561,Bird,1730648
South Australia,2006,430,Bird,983482
Tasmania,2006,219,Bird,68401
Victoria,2006,414,Bird,227416
Western Australia,2006,442,Bird,2529875
Australian Capital Territory,2007,240,Bird,2358
New South Wales,2007,530,Bird,800642
Northern Territory,2007,391,Bird,1349129
Other Territories,2007,146,Bird,250
Queensland,2007,560,Bird,1730648
South Australia,2007,429,Bird,983482
Tasmania,2007,219,Bird,68401
Victoria,2007,412,Bird,227416
Western Australia,2007,443,Bird,2529875
Australian Capital Territory,2008,240,Bird,2358
New South Wales,2008,531,Bird,800642
Northern Territory,2008,390,Bird,1349129
Other Territories,2008,147,Bird,250
Queensland,2008,560,Bird,1730648
South Australia,2008,429,Bird,983482
Tasmania,2008,219,Bird,68401
Victoria,2008,414,Bird,227416
Western Australia,2008,443,Bird,2529875
Australian Capital Territory,2009,240,Bird,2358
New South Wales,2009,531,Bird,800642
Northern Territory,2009,390,Bird,1349129
Other Territories,2009,147,Bird,250
Queensland,2009,559,Bird,1730648
South Australia,2009,429,Bird,983482
Tasmania,2009,221,Bird,68401
Victoria,2009,414,Bird,227416
Western Australia,2009,443,Bird,2529875
Australian Capital Territory,2010,242,Bird,2358
New South Wales,2010,530,Bird,800642
Northern Territory,2010,390,Bird,1349129
Other Territories,2010,147,Bird,250
Queensland,2010,556,Bird,1730648
South Australia,2010,428,Bird,983482
Tasmania,2010,223,Bird,68401
Victoria,2010,415,Bird,227416
Western Australia,2010,443,Bird,2529875
Australian Capital Territory,2011,244,Bird,2358
New South Wales,2011,530,Bird,800642
Northern Territory,2011,389,Bird,1349129
Other Territories,2011,148,Bird,250
Queensland,2011,555,Bird,1730648
South Australia,2011,426,Bird,983482
Tasmania,2011,224,Bird,68401
Victoria,2011,416,Bird,227416
Western Australia,2011,443,Bird,2529875
Australian Capital Territory,2012,245,Bird,2358
New South Wales,2012,529,Bird,800642
Northern Territory,2012,389,Bird,1349129
Other Territories,2012,149,Bird,250
Queensland,2012,556,Bird,1730648
South Australia,2012,426,Bird,983482
Tasmania,2012,223,Bird,68401
Victoria,2012,415,Bird,227416
Western Australia,2012,443,Bird,2529875
Australian Capital Territory,2013,244,Bird,2358
New South Wales,2013,530,Bird,800642
Northern Territory,2013,391,Bird,1349129
Other Territories,2013,148,Bird,250
Queensland,2013,560,Bird,1730648
South Australia,2013,427,Bird,983482
Tasmania,2013,221,Bird,68401
Victoria,2013,414,Bird,227416
Western Australia,2013,443,Bird,2529875
Australian Capital Territory,2014,242,Bird,2358
New South Wales,2014,530,Bird,800642
Northern Territory,2014,391,Bird,1349129
Other Territories,2014,147,Bird,250
Queensland,2014,561,Bird,1730648
South Australia,2014,428,Bird,983482
Tasmania,2014,221,Bird,68401
Victoria,2014,413,Bird,227416
Western Australia,2014,443,Bird,2529875
Australian Capital Territory,2015,241,Bird,2358
New South Wales,2015,530,Bird,800642
Northern Territory,2015,391,Bird,1349129
Other Territories,2015,147,Bird,250
Queensland,2015,562,Bird,1730648
South Australia,2015,428,Bird,983482
Tasmania,2015,221,Bird,68401
Victoria,2015,412,Bird,227416
Western Australia,2015,442,Bird,2529875
Australian Capital Territory,2016,242,Bird,2358
New South Wales,2016,526,Bird,800642
Northern Territory,2016,390,Bird,1349129
Other Territories,2016,147,Bird,250
Queensland,2016,558,Bird,1730648
South Australia,2016,426,Bird,983482
Tasmania,2016,223,Bird,68401
Victoria,2016,412,Bird,227416
Western Australia,2016,441,Bird,2529875
Australian Capital Territory,2017,242,Bird,2358
New South Wales,2017,527,Bird,800642
Northern Territory,2017,390,Bird,1349129
Other Territories,2017,147,Bird,250
Queensland,2017,558,Bird,1730648
South Australia,2017,426,Bird,983482
Tasmania,2017,223,Bird,68401
Victoria,2017,412,Bird,227416
Western Australia,2017,441,Bird,2529875
Australian Capital Territory,2018,242,Bird,2358
New South Wales,2018,529,Bird,800642
Northern Territory,2018,390,Bird,1349129
Other Territories,2018,147,Bird,250
Queensland,2018,558,Bird,1730648
South Australia,2018,427,Bird,983482
Tasmania,2018,224,Bird,68401
Victoria,2018,414,Bird,227416
Western Australia,2018,442,Bird,2529875
Australian Capital Territory,2019,242,Bird,2358
New South Wales,2019,534,Bird,800642
Northern Territory,2019,390,Bird,1349129
Other Territories,2019,147,Bird,250
Queensland,2019,560,Bird,1730648
South Australia,2019,430,Bird,983482
Tasmania,2019,225,Bird,68401
Victoria,2019,416,Bird,227416
Western Australia,2019,442,Bird,2529875
Australian Capital Territory,2020,240,Bird,2358
New South Wales,2020,528,Bird,800642
Northern Territory,2020,391,Bird,1349129
Other Territories,2020,146,Bird,250
Queensland,2020,558,Bird,1730648
South Australia,2020,428,Bird,983482
Tasmania,2020,223,Bird,68401
Victoria,2020,413,Bird,227416
Western Australia,2020,442,Bird,2529875
Australian Capital Territory,2021,240,Bird,2358
New South Wales,2021,527,Bird,800642
Northern Territory,2021,390,Bird,1349129
Other Territories,2021,146,Bird,250
Queensland,2021,557,Bird,1730648
South Australia,2021,427,Bird,983482
Tasmania,2021,221,Bird,68401
Victoria,2021,411,Bird,227416
Western Australia,2021,442,Bird,2529875
Australian Capital Territory,2022,241,Bird,2358
New South Wales,2022,525,Bird,800642
Northern Territory,2022,390,Bird,1349129
Other Territories,2022,147,Bird,250
Queensland,2022,557,Bird,1730648
South Australia,2022,426,Bird,983482
Tasmania,2022,222,Bird,68401
Victoria,2022,411,Bird,227416
Western Australia,2022,441,Bird,2529875
Australian Capital Territory,2023,244,Bird,2358
New South Wales,2023,529,Bird,800642
Northern Territory,2023,389,Bird,1349129
Other Territories,2023,148,Bird,250
Queensland,2023,557,Bird,1730648
South Australia,2023,427,Bird,983482
Tasmania,2023,225,Bird,68401
Victoria,2023,415,Bird,227416
Western Australia,2023,441,Bird,2529875
Australian Capital Territory,2024,244,Bird,2358
New South Wales,2024,528,Bird,800642
Northern Territory,2024,388,Bird,1349129
Other Territories,2024,148,Bird,250
Queensland,2024,555,Bird,1730648
South Australia,2024,426,Bird,983482
Tasmania,2024,227,Bird,68401
Victoria,2024,415,Bird,227416
Western Australia,2024,441,Bird,2529875
Australian Capital Territory,1750,9545,Fungi,2358
New South Wales,1750,32861,Fungi,800642
Northern Territory,1750,29788,Fungi,1349129
Other Territories,1750,2764,Fungi,250
Queensland,1750,34100,Fungi,1730648
South Australia,1750,29668,Fungi,983482
Tasmania,1750,18852,Fungi,68401
Victoria,1750,22912,Fungi,227416
Western Australia,1750,38818,Fungi,2529875
Australian Capital Territory,1990,7834,Fungi,2358
New South Wales,1990,27928,Fungi,800642
Northern Territory,1990,26811,Fungi,1349129
Other Territories,1990,2274,Fungi,250
Queensland,1990,29843,Fungi,1730648
South Australia,1990,25994,Fungi,983482
Tasmania,1990,15334,Fungi,68401
Victoria,1990,18991,Fungi,227416
Western Australia,1990,34408,Fungi,2529875
Australian Capital Territory,1991,7823,Fungi,2358
New South Wales,1991,27925,Fungi,800642
Northern Territory,1991,26802,Fungi,1349129
Other Territories,1991,2266,Fungi,250
Queensland,1991,29816,Fungi,1730648
South Australia,1991,26007,Fungi,983482
Tasmania,1991,15340,Fungi,68401
Victoria,1991,18978,Fungi,227416
Western Australia,1991,34392,Fungi,2529875
Australian Capital Territory,1992,7821,Fungi,2358
New South Wales,1992,27990,Fungi,800642
Northern Territory,1992,26841,Fungi,1349129
Other Territories,1992,2270,Fungi,250
Queensland,1992,29881,Fungi,1730648
South Australia,1992,26048,Fungi,983482
Tasmania,1992,15347,Fungi,68401
Victoria,1992,18998,Fungi,227416
Western Australia,1992,34418,Fungi,2529875
Australian Capital Territory,1993,7856,Fungi,2358
New South Wales,1993,28141,Fungi,800642
Northern Territory,1993,26865,Fungi,1349129
Other Territories,1993,2280,Fungi,250
Queensland,1993,29974,Fungi,1730648
South Australia,1993,26144,Fungi,983482
Tasmania,1993,15427,Fungi,68401
Victoria,1993,19095,Fungi,227416
Western Australia,1993,34489,Fungi,2529875
Australian Capital Territory,1994,7884,Fungi,2358
New South Wales,1994,28225,Fungi,800642
Northern Territory,1994,26906,Fungi,1349129
Other Territories,1994,2290,Fungi,250
Queensland,1994,30045,Fungi,1730648
South Australia,1994,26216,Fungi,983482
Tasmania,1994,15469,Fungi,68401
Victoria,1994,19157,Fungi,227416
Western Australia,1994,34541,Fungi,2529875
Australian Capital Territory,1995,7881,Fungi,2358
New South Wales,1995,28176,Fungi,800642
Northern Territory,1995,26859,Fungi,1349129
Other Territories,1995,2288,Fungi,250
Queensland,1995,29991,Fungi,1730648
South Australia,1995,26195,Fungi,983482
Tasmania,1995,15461,Fungi,68401
Victoria,1995,19131,Fungi,227416
Western Australia,1995,34487,Fungi,2529875
Australian Capital Territory,1996,7857,Fungi,2358
New South Wales,1996,28122,Fungi,800642
Northern Territory,1996,26850,Fungi,1349129
Other Territories,1996,2280,Fungi,250
Queensland,1996,29958,Fungi,1730648
South Australia,1996,26169,Fungi,983482
Tasmania,1996,15412,Fungi,68401
Victoria,1996,19082,Fungi,227416
Western Australia,1996,34443,Fungi,2529875
Australian Capital Territory,1997,7834,Fungi,2358
New South Wales,1997,28054,Fungi,800642
Northern Territory,1997,26775,Fungi,1349129
Other Territories,1997,2279,Fungi,250
Queensland,1997,29872,Fungi,1730648
South Australia,1997,26092,Fungi,983482
Tasmania,1997,15343,Fungi,68401
Victoria,1997,19027,Fungi,227416
Western Australia,1997,34357,Fungi,2529875
Australian Capital Territory,1998,7831,Fungi,2358
New South Wales,1998,28066,Fungi,800642
Northern Territory,1998,26787,Fungi,1349129
Other Territories,1998,2279,Fungi,250
Queensland,1998,29872,Fungi,1730648
South Australia,1998,26118,Fungi,983482
Tasmania,1998,15330,Fungi,68401
Victoria,1998,19044,Fungi,227416
Western Australia,1998,34398,Fungi,2529875
Australian Capital Territory,1999,7846,Fungi,2358
New South Wales,1999,28107,Fungi,800642
Northern Territory,1999,26781,Fungi,1349129
Other Territories,1999,2284,Fungi,250
Queensland,1999,29885,Fungi,1730648
South Australia,1999,26158,Fungi,983482
Tasmania,1999,15381,Fungi,68401
Victoria,1999,19084,Fungi,227416
Western Australia,1999,34404,Fungi,2529875
Australian Capital Territory,2000,7876,Fungi,2358
New South Wales,2000,28108,Fungi,800642
Northern Territory,2000,26764,Fungi,1349129
Other Territories,2000,2289,Fungi,250
Queensland,2000,29876,Fungi,1730648
South Australia,2000,26130,Fungi,983482
Tasmania,2000,15442,Fungi,68401
Victoria,2000,19108,Fungi,227416
Western Australia,2000,34377,Fungi,2529875
Australian Capital Territory,2001,7918,Fungi,2358
New South Wales,2001,28207,Fungi,800642
Northern Territory,2001,26765,Fungi,1349129
Other Territories,2001,2296,Fungi,250
Queensland,2001,29922,Fungi,1730648
South Australia,2001,26194,Fungi,983482
Tasmania,2001,15509,Fungi,68401
Victoria,2001,19179,Fungi,227416
Western Australia,2001,34423,Fungi,2529875
Australian Capital Territory,2002,7942,Fungi,2358
New South Wales,2002,28310,Fungi,800642
Northern Territory,2002,26824,Fungi,1349129
Other Territories,2002,2298,Fungi,250
Queensland,2002,30009,Fungi,1730648
South Australia,2002,26268,Fungi,983482
Tasmania,2002,15544,Fungi,68401
Victoria,2002,19249,Fungi,227416
Western Australia,2002,34541,Fungi,2529875
Australian Capital Territory,2003,7900,Fungi,2358
New South Wales,2003,28315,Fungi,800642
Northern Territory,2003,26883,Fungi,1349129
Other Territories,2003,2293,Fungi,250
Queensland,2003,30060,Fungi,1730648
South Australia,2003,26325,Fungi,983482
Tasmania,2003,15502,Fungi,68401
Victoria,2003,19223,Fungi,227416
Western Australia,2003,34605,Fungi,2529875
Australian Capital Territory,2004,7877,Fungi,2358
New South Wales,2004,28302,Fungi,800642
Northern Territory,2004,26921,Fungi,1349129
Other Territories,2004,2288,Fungi,250
Queensland,2004,30080,Fungi,1730648
South Australia,2004,26347,Fungi,983482
Tasmania,2004,15475,Fungi,68401
Victoria,2004,19210,Fungi,227416
Western Australia,2004,34622,Fungi,2529875
Australian Capital Territory,2005,7837,Fungi,2358
New South Wales,2005,28178,Fungi,800642
Northern Territory,2005,26894,Fungi,1349129
Other Territories,2005,2281,Fungi,250
Queensland,2005,30008,Fungi,1730648
South Australia,2005,26264,Fungi,983482
Tasmania,2005,15390,Fungi,68401
Victoria,2005,19117,Fungi,227416
Western Australia,2005,34545,Fungi,2529875
Australian Capital Territory,2006,7847,Fungi,2358
New South Wales,2006,28212,Fungi,800642
Northern Territory,2006,26869,Fungi,1349129
Other Territories,2006,2283,Fungi,250
Queensland,2006,30007,Fungi,1730648
South Australia,2006,26287,Fungi,983482
Tasmania,2006,15390,Fungi,68401
Victoria,2006,19141,Fungi,227416
Western Australia,2006,34522,Fungi,2529875
Australian Capital Territory,2007,7832,Fungi,2358
New South Wales,2007,28165,Fungi,800642
Northern Territory,2007,26872,Fungi,1349129
Other Territories,2007,2282,Fungi,250
Queensland,2007,29998,Fungi,1730648
South Australia,2007,26241,Fungi,983482
Tasmania,2007,15359,Fungi,68401
Victoria,2007,19098,Fungi,227416
Western Australia,2007,34517,Fungi,2529875
Australian Capital Territory,2008,7844,Fungi,2358
New South Wales,2008,28204,Fungi,800642
Northern Territory,2008,26852,Fungi,1349129
Other Territories,2008,2283,Fungi,250
Queensland,2008,29982,Fungi,1730648
South Australia,2008,26269,Fungi,983482
Tasmania,2008,15360,Fungi,68401
Victoria,2008,19124,Fungi,227416
Western Australia,2008,34518,Fungi,2529875
Australian Capital Territory,2009,7853,Fungi,2358
New South Wales,2009,28186,Fungi,800642
Northern Territory,2009,26836,Fungi,1349129
Other Territories,2009,2283,Fungi,250
Queensland,2009,29943,Fungi,1730648
South Australia,2009,26239,Fungi,983482
Tasmania,2009,15373,Fungi,68401
Victoria,2009,19124,Fungi,227416
Western Australia,2009,34508,Fungi,2529875
Australian Capital Territory,2010,7894,Fungi,2358
New South Wales,2010,28172,Fungi,800642
Northern Territory,2010,26786,Fungi,1349129
Other Territories,2010,2290,Fungi,250
Queensland,2010,29871,Fungi,1730648
South Australia,2010,26206,Fungi,983482
Tasmania,2010,15444,Fungi,68401
Victoria,2010,19166,Fungi,227416
Western Australia,2010,34501,Fungi,2529875
Australian Capital Territory,2011,7934,Fungi,2358
New South Wales,2011,28192,Fungi,800642
Northern Territory,2011,26762,Fungi,1349129
Other Territories,2011,2302,Fungi,250
Queensland,2011,29861,Fungi,1730648
South Australia,2011,26155,Fungi,983482
Tasmania,2011,15518,Fungi,68401
Victoria,2011,19202,Fungi,227416
Western Australia,2011,34508,Fungi,2529875
Australian Capital Territory,2012,7958,Fungi,2358
New South Wales,2012,28200,Fungi,800642
Northern Territory,2012,26769,Fungi,1349129
Other Territories,2012,2308,Fungi,250
Queensland,2012,29878,Fungi,1730648
South Australia,2012,26150,Fungi,983482
Tasmania,2012,15549,Fungi,68401
Victoria,2012,19219,Fungi,227416
Western Australia,2012,34509,Fungi,2529875
Australian Capital Territory,2013,7925,Fungi,2358
New South Wales,2013,28225,Fungi,800642
Northern Territory,2013,26872,Fungi,1349129
Other Territories,2013,2301,Fungi,250
Queensland,2013,29996,Fungi,1730648
South Australia,2013,26204,Fungi,983482
Tasmania,2013,15493,Fungi,68401
Victoria,2013,19183,Fungi,227416
Western Australia,2013,34547,Fungi,2529875
Australian Capital Territory,2014,7884,Fungi,2358
New South Wales,2014,28191,Fungi,800642
